Single Year of Age,Male,Female,Difference (Female - Male)
0,196672,188254,-8418
1,197858,188330,-9528
2,202840,193348,-9492
3,204336,195698,-8638
4,204724,194458,-10266
5,205428,197306,-8122
6,209318,199096,-10222
7,210222,200994,-9228
8,210636,201510,-9126
9,206350,197142,-9208
10,205432,195214,-10218
11,204852,195162,-9690
12,206566,197060,-9506
13,203016,194542,-8474
14,199270,191224,-8046
15,193694,184926,-8768
16,188812,180804,-8008
17,190242,180176,-10066
18,188780,180992,-7788
19,181496,177004,-4492
20,181612,178414,-3198
21,173902,172074,-1828
22,174564,173870,-694
23,174240,174392,152
24,175014,177938,2924
25,180340,183226,2886
26,179806,185360,5554
27,187428,196838,9410
28,188270,201554,13284
29,196824,209084,12260
30,208366,220954,12588
31,211164,220864,9700
32,210558,224240,13682
33,210936,225220,14284
34,215916,228068,12152
35,223358,233574,10216
36,227480,236568,9088
37,220344,230336,9992
38,221318,230112,8794
39,220488,229524,9036
40,224394,230016,5622
41,223014,228108,5094
42,219438,222332,2894
43,213792,218478,4686
44,208108,211912,3804
45,208476,210266,1790
46,204158,207450,3292
47,198736,200330,1594
48,194980,197710,2730
49,192678,194814,2136
50,191964,193392,1428
51,186520,189230,2710
52,181946,184068,2122
53,176264,178072,1808
54,173190,174002,812
55,169946,171860,1914
56,165646,169044,3398
57,164636,166540,1904
58,159912,163094,3182
59,155616,157284,1668
60,152326,153170,844
61,148966,152464,3498
62,145558,147272,1714
63,142172,143272,1100
64,136974,138450,1476
65,133974,134172,198
66,126658,130440,3782
67,124052,126656,2604
68,118556,120828,2272
69,114042,116658,2616
70,107568,110704,3136
71,102002,106236,4234
72,97412,102706,5294
73,90986,97236,6250
74,86548,91294,4746
75,80772,87852,7080
76,75732,84674,8942
77,69892,79222,9330
78,63758,73060,9302
79,58794,69770,10976
80,53446,64730,11284
81,47380,60246,12866
82,42870,56670,13800
83,37734,51760,14026
84,32984,47652,14668
85,29524,43778,14254
86,25204,39698,14494
87,20680,35402,14722
88,17066,30794,13728
89,13752,26208,12456
90,11044,22606,11562
91,8796,19140,10344
92,6052,14522,8470
93,4322,11512,7190
94,3256,9008,5752
95,2284,6802,4518
96,1652,4954,3302
97,1056,3586,2530
98,574,2332,1758
99,456,1598,1142
100,592,2574,1982
