station,year,predicted_wind_speed
Belmullet,2026,11.91
Belmullet,2027,11.93
Belmullet,2028,11.95
Belmullet,2029,11.96
Belmullet,2030,11.98
Belmullet,2031,12.0
Belmullet,2032,12.02
Belmullet,2033,12.04
Belmullet,2034,12.06
Belmullet,2035,12.08
Casement_Aerodrome,2026,9.75
Casement_Aerodrome,2027,9.75
Casement_Aerodrome,2028,9.75
Casement_Aerodrome,2029,9.76
Casement_Aerodrome,2030,9.76
Casement_Aerodrome,2031,9.76
Casement_Aerodrome,2032,9.77
Casement_Aerodrome,2033,9.77
Casement_Aerodrome,2034,9.78
Casement_Aerodrome,2035,9.78
Claremorris,2026,7.76
Claremorris,2027,7.74
Claremorris,2028,7.72
Claremorris,2029,7.7
Claremorris,2030,7.68
Claremorris,2031,7.67
Claremorris,2032,7.65
Claremorris,2033,7.63
Claremorris,2034,7.61
Claremorris,2035,7.59
Dublin_Airport,2026,8.9
Dublin_Airport,2027,8.78
Dublin_Airport,2028,8.67
Dublin_Airport,2029,8.55
Dublin_Airport,2030,8.43
Dublin_Airport,2031,8.31
Dublin_Airport,2032,8.19
Dublin_Airport,2033,8.07
Dublin_Airport,2034,7.96
Dublin_Airport,2035,7.84
Malin_Head,2026,14.8
Malin_Head,2027,14.82
Malin_Head,2028,14.83
Malin_Head,2029,14.85
Malin_Head,2030,14.87
Malin_Head,2031,14.88
Malin_Head,2032,14.9
Malin_Head,2033,14.91
Malin_Head,2034,14.93
Malin_Head,2035,14.95
Mt_Dillon,2026,5.81
Mt_Dillon,2027,5.7
Mt_Dillon,2028,5.59
Mt_Dillon,2029,5.48
Mt_Dillon,2030,5.37
Mt_Dillon,2031,5.26
Mt_Dillon,2032,5.15
Mt_Dillon,2033,5.04
Mt_Dillon,2034,4.93
Mt_Dillon,2035,4.82
Mullingar,2026,6.0
Mullingar,2027,5.99
Mullingar,2028,5.97
Mullingar,2029,5.96
Mullingar,2030,5.95
Mullingar,2031,5.93
Mullingar,2032,5.92
Mullingar,2033,5.9
Mullingar,2034,5.89
Mullingar,2035,5.87
Roches_Point,2026,12.37
Roches_Point,2027,12.4
Roches_Point,2028,12.42
Roches_Point,2029,12.44
Roches_Point,2030,12.46
Roches_Point,2031,12.49
Roches_Point,2032,12.51
Roches_Point,2033,12.53
Roches_Point,2034,12.55
Roches_Point,2035,12.58
Sherkin_Island,2026,12.62
Sherkin_Island,2027,12.65
Sherkin_Island,2028,12.67
Sherkin_Island,2029,12.7
Sherkin_Island,2030,12.72
Sherkin_Island,2031,12.75
Sherkin_Island,2032,12.77
Sherkin_Island,2033,12.8
Sherkin_Island,2034,12.82
Sherkin_Island,2035,12.85
Valentia_Observatory,2026,9.53
Valentia_Observatory,2027,9.55
Valentia_Observatory,2028,9.57
Valentia_Observatory,2029,9.59
Valentia_Observatory,2030,9.61
Valentia_Observatory,2031,9.63
Valentia_Observatory,2032,9.65
Valentia_Observatory,2033,9.67
Valentia_Observatory,2034,9.69
Valentia_Observatory,2035,9.72
